text,recognized_entities,training_time,recall,precision,f1_score
Block bittorrent for professors,"@operation,@target,@service,",23.596527099609375,1.0,1.0,1.0
Block torrent traffic for all students,"@operation,@traffic,@target,",23.596527099609375,1.0,1.0,1.0
From dorms to internet add nat,"@origin,@operation,@destination,@middlebox,",23.596527099609375,1.0,1.0,1.0
Please allow social media for the HR department,"@operation,@traffic,@target,",23.596527099609375,1.0,1.0,1.0
Block streaming and gaming trafficin classrooms,"@operation,@traffic,@target,",23.596527099609375,1.0,1.0,1.0
Add parental control from my house to internet,"@origin,@operation,@destination,@middlebox,",23.596527099609375,1.0,1.0,1.0
Add inspection for the university from 22:00 to 12:00,"@start,@end,@middlebox,",23.596527099609375,0.3333333333333333,0.6666666666666666,0.4444444444444444
Add monitor for the university from 04:00 to 22:00,"@start,@end,@target,@middlebox,",23.596527099609375,1.0,0.75,0.8571428571428571
Include parental control for PlayStation,"@operation,@target,@middlebox,",23.596527099609375,1.0,1.0,1.0
Remove firewall from the university to my house,"@origin,@operation,@destination,@middlebox,",23.596527099609375,1.0,1.0,1.0
We provide a data plan quota for all staff of 10 GB per day,"@qos_unit,@qos_metric,@operation,@qos_value,@target,",23.596527099609375,1.0,1.0,1.0
Dorms traffic to internet must pass through a firewall,"@origin,@operation,@destination,@middlebox,",23.596527099609375,1.0,1.0,1.0
