text,recognized_entities,training_time,recall,precision,f1_score
Students 10 GB a day download quotas are on 10 AM to Midnight,"@qos_unit,@qos_metric,@qos_value,@target,@service,",16.679374933242798,0.45454545454545453,0.8333333333333334,0.5882352941176471
Telnet is allowed by the mostly-closed University firewall,"@operation,@protocol,@middlebox,",16.679374933242798,0.42857142857142855,1.0,0.6
Everquest is blocked by the University firewall,"@operation,@target,@service,@middlebox,",16.679374933242798,1.0,1.0,1.0
University Housing monitors only the amount of traffic,"@middlebox,",16.679374933242798,0.3333333333333333,1.0,0.5
"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network","@origin,@operation,@destination,@traffic,@target,",16.679374933242798,1.0,1.0,1.0
Sony Playstation 2 is allowed by the mostly-closed University firewall,"@operation,@service,@middlebox,",16.679374933242798,0.42857142857142855,1.0,0.6
"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps","@qos_unit,@qos_value,@operation,@qos_metric,@target,",16.679374933242798,1.0,1.0,1.0
P2P application is separately capped at 30 Mbps for the entire campus,"@qos_unit,@traffic,@qos_metric,@qos_value,@target,",16.679374933242798,1.0,1.0,1.0
HTTP and HTTPS are allowed by the mostly-closed University firewall,"@operation,@protocol,@middlebox,",16.679374933242798,0.5,1.0,0.6666666666666666
The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"@qos_unit,@qos_metric,@qos_value,@target,@middlebox,",16.679374933242798,1.0,1.0,1.0
Routers or anything else that does routing or NAT are prohibited from MITNet as they interfere with the operation of the network,"@operation,@protocol,",16.679374933242798,0.5,1.0,0.6666666666666666
"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of per day, regardless of whether it is inbound or outbound over the commodity network link","@qos_unit,@qos_value,@qos_metric,@target,@qos_constraint,",16.679374933242798,1.0,1.0,1.0
