university,text stn,text hyp,sentence,hypothesis,prediction
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","Currently, the University of Illinois does not have any rate limits",define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('gateway') unset bandwidth(),0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",University Housing monitors only the amount of traffic of each user,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",CounterStrike server is blocked by the University firewall,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",FTP server is allowed by the University firewall,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0
University of Illinois - Urbana Champaign,"If a student is in obvious violations of copyright  law by using a room's wired connection (i.e. ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",FTP and SFTP traffic is allowed for all students,define intent uniIntent: add middlebox('copyright-monitoring') for group('students'),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",University Housing monitors only the amount of traffic of each user,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",FTP server is allowed by the University firewall,define intent uniIntent: for endpoint('gateway') unset bandwidth(),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0
University of Illinois - Urbana Champaign,"Currently, the University of Illinois does not have any rate limits",FTP and SFTP traffic is allowed for all students,define intent uniIntent: for endpoint('gateway') unset bandwidth(),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,FTP server is allowed by the University firewall,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0
University of Illinois - Urbana Champaign,University Housing monitors only the amount of traffic of each user,FTP and SFTP traffic is allowed for all students,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor'),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,FTP server is allowed by the University firewall,define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),0
University of Illinois - Urbana Champaign,CounterStrike server is blocked by the University firewall,FTP and SFTP traffic is allowed for all students,define intent uniIntent: for endpoint('gateway') add middlebox('firewall') block servive('CounterStrike server'),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0
University of Illinois - Urbana Champaign,FTP server is allowed by the University firewall,FTP and SFTP traffic is allowed for all students,define intent uniIntent: for endpoint('gateway') add middlebox('firewall') allow protocol('FTP'),"define intent uniIntent: for group('students') allow protocol('ftp'), protocol('sftp')",0
University of Illinois - Chicago,Guests cannot run any file sharing/downloading program,"There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless",define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') set quota('6', 'gb/d') start hour('00:00') end hour('23:59')",0
University of Illinois - Chicago,Guests cannot run any file sharing/downloading program,"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless",define intent uniIntent: for endpoint('hosts') block service('file sharing'),"define intent uniIntent: for endpoint('dorms'), endpoint('dorms') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), traffic('dns'), service(email)",0
University of Illinois - Chicago,"There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless","You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless","define intent uniIntent: for endpoint('dorms'), endpoint('dorms') set quota('6', 'gb/d') start hour('00:00') end hour('23:59')","define intent uniIntent: for endpoint('dorms'), endpoint('dorms') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), traffic('dns'), service(email)",0
Rose-Hulman Institute of Technology,Students data limit is 100 GB per week,"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps","define intent uniIntent: for group('students') set quota('100', 'gb/wk')","define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')",0
Rose-Hulman Institute of Technology,Students data limit is 100 GB per week,The individual will have a 4 Mbps bandwidth rate limit,"define intent uniIntent: for group('students') set quota('100', 'gb/wk')","define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')",0
Rose-Hulman Institute of Technology,Students data limit is 100 GB per week,P2P application is separately capped at 30 Mbps for the entire campus,"define intent uniIntent: for group('students') set quota('100', 'gb/wk')","define intent uniIntent: for traffic('peer2peer'), endpoint('gateway') set bandwidth('max', '30', 'mbps')",0
Rose-Hulman Institute of Technology,Students data limit is 100 GB per week,Guests' network is rate-limited to 5 Mb/s per user,"define intent uniIntent: for group('students') set quota('100', 'gb/wk')","define intent uniIntent: for group('hosts') set bandwidth('max', '5', 'mbps')",0
Rose-Hulman Institute of Technology,"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",The individual will have a 4 Mbps bandwidth rate limit,"define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')","define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')",0
Rose-Hulman Institute of Technology,"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",P2P application is separately capped at 30 Mbps for the entire campus,"define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')","define intent uniIntent: for traffic('peer2peer'), endpoint('gateway') set bandwidth('max', '30', 'mbps')",1
Rose-Hulman Institute of Technology,"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps",Guests' network is rate-limited to 5 Mb/s per user,"define intent uniIntent: for endpoint('hosts') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')","define intent uniIntent: for group('hosts') set bandwidth('max', '5', 'mbps')",0
Rose-Hulman Institute of Technology,The individual will have a 4 Mbps bandwidth rate limit,P2P application is separately capped at 30 Mbps for the entire campus,"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')","define intent uniIntent: for traffic('peer2peer'), endpoint('gateway') set bandwidth('max', '30', 'mbps')",1
Rose-Hulman Institute of Technology,The individual will have a 4 Mbps bandwidth rate limit,Guests' network is rate-limited to 5 Mb/s per user,"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '4', 'mbps')","define intent uniIntent: for group('hosts') set bandwidth('max', '5', 'mbps')",0
Rose-Hulman Institute of Technology,P2P application is separately capped at 30 Mbps for the entire campus,Guests' network is rate-limited to 5 Mb/s per user,"define intent uniIntent: for traffic('peer2peer'), endpoint('gateway') set bandwidth('max', '30', 'mbps')","define intent uniIntent: for group('hosts') set bandwidth('max', '5', 'mbps')",0
Carnegie Mellon University,"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of bandwidth per day, regardless of whether it is in inbound or outbound over the commodity network link",The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"define intent uniIntent: for endpoint('gateway') set quota('5000', 'mb/h')","define intent uniIntent: for group('hosts') add middlebox('overuse notification') set quota('10', 'gb/wk')",0
Rutgers University,The system passively monitors the network throughput when traffic is light,Internet is limited to 3 Mbps per host,define intent uniIntent: for endpoint('gateway') add middlebox('traffic monitor'),"define intent uniIntent: for endpoint('hosts') set bandwidth('max', '3', 'mbps')",0
Columbia University,Students 5000 Megabyte per hr download quotas are on 10 AM to Midnight,Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hour upload,"define intent uniIntent: for group('students') set quota('10', 'gb/d') start hour(10:00) end hour('00:00')","define intent uniIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')",1
