Task,Intent
1,"please lumi, forward all internet traffic to the DPI then to labs"
1,Inspect all internet traffic to the labs
1,Send to DPI all traffic from Internet to Labs
1,"Hey Lumi, drive the studants traffic to DPI and then to Labs"
1,"Hey Lumi, drive the students's traffic to DPI and then to Labs"
1,Inspect traffic from Internet to the lab pass throught a DPI
1,"Redirect all traffic from labs, going trhogh DPI"
1,inspect all traffic from LABS through DPI
1,inspect all traffic from labs
1,"hey lumi, please add a DPI to ensure students from the labs are not accessing suspicious applications"
1,make traffic going to the labs pass through dpi
1,Add DPI middlebox into all traffic from Internet to the Labs.
1,Hi Lumi! Please route all traffic destined to Labs through DPI.
1,Route all traffic destined to Labs through the DPI.
1,Send internet traffic to labs through dpi
1,"Lumi, inspect all traffic from the Internet to the student labs in the DPI"
1,all incoming traffic to the labs must pass through a DPI
1,inspect all traffic from the internet to the labs with DPI
1,"Lumi, inspect traffic to labs using DPI"
1,"Hey Lumi, all traffic from gateway to labs should be redirected to DPI"
1,send user traffic to labs through dpi
1,add dpi on labs
1,make all traffic going to the lab go through the deep packet inspection
1,route all traffic flowing from the internet to the labs through the DPI middlebox
1,all traffic from the internet to the labs inspected by the DPI
2,Set a 100 Mbps the bandwidth limit for Torrent traffic from Internet to Guests
2,"hey Lumi, limit to 100 Mbps the torrent traffic to Guest"
2,Limit to 100Mbps the torrent traffic
2,Limit to 100 Mbps torrent traffic in the gateway
2,limit torrent traffic to guests to 100 mbps
2,Limit torrent traffic to guest users to 100 mbps.
2,limit torrent traffic to 100mbps
2,"hey lumi, please limit bandwidth for torrent traffic to 100 Mbps"
2,"please, limit the torrent traffic to 100Mbps"
2,Set bandwidth to 100 Mbps to Torrent traffic.
2,Limit the torrent traffic to 100 Mbps.
2,Limit guests to 100 mbps bandwidth for torrent traffice
2,limit torrent traffic from gateway to 100Mbps
2,"Lumi, limit the the torrent traffic to 100 Mbps"
2,please limit the torrent bandwith of guests to 100mbps
2,limit to 100 Mbps the bandwidth torrent traffic can consume
2,"Lumi, for the guests network limit torrent traffic to 100MBps"
2,Please limit the torrent traffic from gateway to guest to 100Mbps
2,rate limit torrent 100mbps
2,set torrent bandwidth to 100 Mbps
2,limit guest torrent traffic to 100 Mbps
2,limit torrent traffic to 100 Mbps
2,"Hi Lumi, set torrent traffic bandwidth to limit 100 Mbps"
3,"please lumi, define quota 100 gb per week to dorms"
3,"please lumi, define quota to 10 gb per week to dorms"
3,set a 10 GB per week download quota for dorms.
3,Set 10 GB per week as download quota for the dorms
3,"Hey Lumi, limit to 10 GB per week the download traffic of Dorms"
3,set a 10 GB per week download quota for students in dorms
3,Between internet and dorms set quota to 10 GB per week
3,Limit the download quota to 10Gb per week in the dorms.
3,limit dorms traffic 10gb per week
3,"hi lumi, please set a maximum download quota of 10 GB per week for students in dorms"
3,update network quota for dorms to 10GB/wk
3,Set 10 GB/wk quota from Internet to the Dorms.
