text,recognized_entities,training_time,recall,precision,f1_score
AIM chat and file transfering is allowed by the mostly-closed University firewall,"@operation,@service,@middlebox,",47.09676909446716,0.5,1.0,0.6666666666666666
From dorms to internet add nat,"@origin,@operation,@destination,@middlebox,",47.09676909446716,1.0,1.0,1.0
Students cannot run file servers,"@operation,@target,@service,",47.09676909446716,1.0,1.0,1.0
"MSN audio and video are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","@operation,@target,@service,@middlebox,",47.09676909446716,1.0,1.0,1.0
"The network firewall does prevent some applications from working in their normal manner, for example, video and audio conferencing products that use the H.323","@target,@service,@middlebox,",47.09676909446716,0.8,0.8,0.8000000000000002
Everquest is blocked by the University firewall,"@operation,@target,@service,@middlebox,",47.09676909446716,1.0,1.0,1.0
Permit gaming for PS4 from 13:00 to 18:00,"@traffic,@start,@operation,@end,@target,",47.09676909446716,1.0,0.8,0.888888888888889
We provide a quota to all students of 1 GB/wk of usage.,"@qos_unit,@qos_metric,@operation,@qos_value,@target,",47.09676909446716,1.0,0.8,0.888888888888889
The individual will have a 4 Mbps bandwidth rate limit,"@qos_unit,@qos_metric,@operation,@qos_value,@target,",47.09676909446716,1.0,1.0,1.0
"You may not run any services (e.g., FTP services,listservers,P2P file sharing servers, publishing files via generic file services, etc.) via ResNet or NYURoam wireless networks","@protocol,@target,@service,@traffic,@qos_metric,@operation,",47.09676909446716,1.0,0.875,0.9333333333333333
ACT/IT Infrastructure monitors traffic on the network for the purpose of maintaining proper network function,"@target,@service,@middlebox,",47.09676909446716,1.0,0.6666666666666666,0.8
Prioritize Netflix traffic from 18:00 to midnight,"@start,@end,@target,@middlebox,",47.09676909446716,1.0,0.75,0.8571428571428571
Students data limit is 100 GB per week,"@qos_unit,@qos_metric,@qos_value,@target,",47.09676909446716,1.0,1.0,1.0
"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail servers on ResNet or UIC wireless-connected devices","@traffic,@operation,@protocol,@target,@service,",47.09676909446716,1.0,1.0,1.0
Block all traffic from HR to the backend servers,"@origin,@operation,@destination,@traffic,",47.09676909446716,1.0,1.0,1.0
Add traffic monitor from PUC to UFRGS,"@origin,@operation,@destination,@middlebox,",47.09676909446716,1.0,1.0,1.0
From gateway to network add middlebox firewall,"@origin,@operation,@destination,@middlebox,",47.09676909446716,1.0,1.0,1.0
Dismiss all middleboxes from UFRGS to PUCRS,"@origin,@operation,@destination,@middlebox,",47.09676909446716,1.0,1.0,1.0
Add inspection for the university from 22:00 to 12:00,"@start,@operation,@end,@target,",47.09676909446716,0.75,0.75,0.75
"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","@target,@middlebox,",47.09676909446716,1.0,1.0,1.0
Block streaming traffic on UFRGS,"@operation,@traffic,@target,",47.09676909446716,1.0,1.0,1.0
Students have 200 GB of Free monthly usage,"@qos_unit,@qos_value,@target,",47.09676909446716,1.0,1.0,1.0
Students have a quota of 5 GB per day The quota is reset at 6am,"@qos_unit,@qos_constraint,@qos_value,@target,",47.09676909446716,0.8333333333333334,1.0,0.9090909090909091
POP3 and secure POP are allowed by the mostly-closed University firewall,"@operation,@protocol,@middlebox,",47.09676909446716,0.5,1.0,0.6666666666666666
Guests' network is rate-limited to 5 Mb/s per user,"@qos_unit,@qos_value,@qos_metric,@target,",47.09676909446716,1.0,1.0,1.0
