"Timestamp","UUID","Did you have any trouble using natural language to describe your network intents?","If you had any troubles, could you please describe what happened?","Did you have any troubles using Lumi's chatbot interface?","If you had any trouble, could you describe what happened?","How many of the given tasks did you succeed in completing?","How easy was it to use Lumi to configure the network?","Compared to the traditional way of configuring networks, how would you rank using Lumi instead of configuration commands or languages?","Would you rather use a chatbot like Lumi or configuration commands to alter network behavior?","If you marked ""I think both are useful for distinct tasks"", please elaborate on your answer.","Which type of intents do you think Lumi helped the most when configuring the network?","Please share your thoughts on Lumi below. Your feedback is very appreciated. What do you think worked and what do you think could be improved?"
"2020/01/22 3:32:45 PM EST","62ea8b3d-8ab9-4ba7-bdfa-1af64a616382","No","","Yes","During the tests, I tried to cancel an operation by typing ""cancel"" as suggested, but Lumi seemed to get stuck with my requests (happened 2 times)","4","5","4","I think both are useful for distinct tasks","Maybe for fine grained tuning, such as defining precise firewall rules, it would be easier to simply type the rules in the command lime. But that something Lumi can easily accomplish, I guess.","Rate limiting;Usage quotas;Middlebox chaining","The interface looks great! Clean, easy to use, and very intuitive. One improvement I suggest is to keep the historic of commands sent (as in a command line interface)."
"2020/01/22 3:42:29 PM EST","854a32e2-adaf-42be-ada4-2033ba0bae44","Yes","Sometimes the same sentence I used to configure an intent did not work. Than i writed the same and it works.","No","","4","5","5","I think both are useful for distinct tasks","Im working with programmability and I think that low-level commands are more reliable to define to define new behaviors. But I think that lumi can help me a lot to manage services and applications. ","Middlebox chaining;Access Control List (ACL)","I appreciate a lot. I only missed some details of what I was doing wrong when my intent was not compiling"
"2020/01/22 4:27:51 PM EST","d0ae1bd8-631c-4eb8-8fa7-9fa829101d68","No","I guess scenarios where EXPERT operators want to do simple configurations or add rules (e.g., an IPtables rule to block port 22 for a range of IPs), they could prefer the command line since it could be faster to create customized rules. Also, sometimes, network operators need to make some configurations and test it in order to create a further script to automate some tasks. In that situation, maybe, the chatbot does not provide any ""technical feedback"" about what was executed on the network/log files.","No","","5","5","4","I think both are useful for distinct tasks","I guess scenarios where expert operators want to do simple configurations or add rules (e.g., an IPtables rule to block port 22 for a range of IPs), they could prefer the command line since it could be faster to create customized rules. Also, sometimes, network operators need to make some configurations and test it in order to create a further script to automate some tasks. In that situation, maybe, the chatbot does not provide any ""technical feedback"" about what was executed on the network/log files.","Rate limiting;Middlebox chaining;Access Control List (ACL);Temporal policies","I really liked the system/tool. I didn't read any tutorial/instruction and just started to write my intents according to the figure, and Lumi was able to map correctly everything that I wrote. Congratulations for the work! Can the Lumi provide an interface for expert users where they can see the ""command line"" that was generated by interacting with a chatbot? Maybe such information can be useful for operators to create their own scripts/knows what is really happening in the network, thus providing more flexibility and transparency for expert users while simplifying and hiding complexities for the non-technical users. 

P.S: That will be very nice if you make available an API of Lumi to allow the integration of Lumi with different management tools that are available or being developed by third-parties. I would like, for example, to make a call to Lumi in order to receive the command to create a specific rule on a Firewall being deployed.

I am looking forward to seeing that published on SIGCOMM! #UFRGS #MiguelQuântico #PurinhoDosBot"
"2020/01/22 4:42:47 PM EST","a3953c60-fb9c-4dc9-83c5-dfe7eef7667a","No","","No","","5","5","5","I would rather use Lumi","","Rate limiting;Usage quotas;Middlebox chaining;Access Control List (ACL);Temporal policies",""
"2020/01/22 5:42:31 PM EST","71fde6e4-c3c4-4c35-9f0c-06f2beb9ef7b","No","","No","","5","5","5","I would rather use Lumi","","Rate limiting;Usage quotas;Middlebox chaining;Access Control List (ACL);Temporal policies",""
"2020/01/23 7:27:19 AM EST","35daa98a-768a-4fc3-a41c-c685561fcd28","Yes","Semantic of the rule ","No","","5","4","4","I think both are useful for distinct tasks","At begin it's difficult say correctly the command to Lumi understands","Rate limiting;Usage quotas;Access Control List (ACL)",""
"2020/01/23 7:46:33 AM EST","20fb5a78-959b-4491-9ac8-c9e75cb906b7","No","","Yes","not being able to go back to the previous page to retake the test","4","4","4","I think both are useful for distinct tasks","it is necessary to know correctly the language used by CHATBOT, so that the commands are used correctly.
In the future it can become a good tool for network managers.","Rate limiting;Usage quotas;Middlebox chaining;Access Control List (ACL);Temporal policies",""
"2020/01/23 8:53:04 AM EST","5ce926ff-7e71-41f7-acee-90165ddb254a","Yes","","Yes","","4","3","3","I think both are useful for distinct tasks","","Rate limiting;Usage quotas",""
"2020/01/23 9:10:25 AM EST","e844ec55-c830-4385-b15d-d1ce5ab70979","Yes","unxpected json error in the last task after writing ""limit servers traffic to 5gbps between 4pm and 7pm""","No","","4","4","3","I prefer network commands","","Middlebox chaining",""
"2020/01/23 12:14:29 PM EST","b160144c-9ebd-4a27-b902-59e773b7e044","No","","Yes","In the last task (Task 5), I tried to request bandwidth throttling for everyday in the specified hours, but it only read the hours as a time definition (and 'everyday' was understood as 'protocol'). I could not fix it through Lumi's interface, either (no alternative for 'time', and when tried another one, namely 'group', it returned an error).","4","5","4","I think both are useful for distinct tasks"," I am no expert, but I feel Lumi is great for defining (and maybe understanding) the overall behavior of the network, while some (lower level) command/configuration might be best for fine-tuning specific network equipment (maybe it would be a bit tiresome to alter a lot of configuration parameters using Lumi's interface, and the familiarity to doing it manually could be a desired feature).","Rate limiting;Usage quotas;Middlebox chaining","I think for the most part Lumi worked great, interpreting requests properly even when some variations for the terms were used. However, as described previously, it seems that a term was misinterpreted in the last task, and the feedback process  was not useful in this case."
"2020/01/23 1:47:23 PM EST","1d695e18-63ed-4c16-af2b-99a2b9bfedeb","Yes","In the first few exercises, I tried to write the way I wanted, but, of course, there was no pattern that matched my sentence. The following exercises I understood the sentence structure and continued without problems","No","","5","4","3","I think both are useful for distinct tasks","I guess natural language will be more useful for requests from people that are not network operators, e.g., professors that are not used to manage the network but need specialized setups in the labs. Network operators will stick to command lines and graphical interfaces since they are made for specialized professionals.","Rate limiting;Middlebox chaining;Access Control List (ACL);Temporal policies",""
"2020/01/23 3:52:07 PM EST","61d81beb-d41e-47a6-9d70-11a61ac0fed0","No","","No","","5","4","4","I prefer network commands","","Middlebox chaining",""
