sentence,hypothesis,features,contradiction
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') allow service('PC Telephone'), service('listserver') start hour('09:40') end hour('15:10')","define intent hypIntent: for group('dorms') block traffic('streaming'), traffic('voip') start hour('11:30') end hour('17:10')","[3, 1, 221.0, 1, 0, 1, 1, 0, 2, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') unset bandwidth('min', '50', 'mbps') start hour('06:20') end hour('11:30')","define intent hypIntent: for group('dorms') unset bandwidth('max', '30', 'mbps') start hour('14:10') end hour('17:20')","[5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.59'),"[5, 1, 1440.0, 0, 0, 1, 0, 2.7587905538553086, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.45') unset quota('any', '2', 'gb/wk')","define intent hypIntent: for group('students') unset quota('download', '6', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set quota('download', '5', 'gb/wk')","define intent hypIntent: for group('students') set quota('any', '8', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') block service('PC Telephone') traffic('email'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.6') block traffic('streaming'), traffic('H323 video conferencing')","[5, 1, 1440.0, 0, 0, 1, 1, 3.086709951843666, 4, 0, 1, 0, 0, 0.9956237950142643, 3, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') allow service('NETBIOS'), service('MSN chat') start hour('11:00') end hour('18:30')",define intent hypIntent: for group('guests') block service('youtube') traffic('social media') start hour('10:00') end hour('15:30'),"[5, 1, 271.0, 1, 1, 1, 1, 0, 0, 0.9364649703981103, 3, 1, 2, 0, 1, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') block service('Everquest'), service('Sorenson Videophone 200')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.71') allow service('Net2Phone') protocol('dns'),"[5, 1, 1440.0, 1, 0, 1, 0, 2.7206650592019095, 4, 0.9548338099972818, 3, 0, 0, 0, 0, 0, 1, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') add middlebox('dpi'), middlebox('firewall'), middlebox('traffics monitor') start hour('10:40') end hour('17:40')","define intent hypIntent: for group('dorms') remove middlebox('network border system'), middlebox('firewall')","[4, 1, 421.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3.4531472870047506, 5]",1
"define intent stnIntent: for group('guests') set bandwidth('min', '30', 'mbps')","define intent stnIntent: for group('students') add middlebox('traffics monitor'), middlebox('load balancer')","[2, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2]",0
"define intent stnIntent: for group('guests') set bandwidth('min', '80', 'mbps')","define intent hypIntent: for group('guest') set bandwidth('max', '20', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
